Year,Rnd,DT,OvPck,FrRnd,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,GP,W,L,ERA,WHIP,SV,Type,DraftedOutOf,link,id_type,player_id,notes,team_id
1971,2,6sd,30,FrRnd,6,Reds,Y,,Ken Hansen (minors),RHP,,,,,,,,,,,,,4Yr,"Arizona State University (Tempe, AZ)",/register/player.fcgi?id=hansen002ken,baseball_reference_minor_league_id,hansen002ken,NA,CIN
1971,2,6sd,31,FrRnd,7,Orioles,N,,Bob Koeppel (minors),LHP,,,,,,,,,,,,,4Yr,"Bradley University (Peoria, IL)",/register/player.fcgi?id=koeppe001rob,baseball_reference_minor_league_id,koeppe001rob,NA,BAL
1971,2,6sd,32,FrRnd,8,Astros,Y,,Robert Blakley (minors),OF,,,,,,,,,,,,,4Yr,"Southern Illinois University Carbondale (Carbondale, IL)",/register/player.fcgi?id=blakle002rob,baseball_reference_minor_league_id,blakle002rob,NA,HOU
1971,2,6sd,33,FrRnd,9,Twins,N,,John Roatche (minors),C,,,,,,,,,,,,,4Yr,"Florida State University (Tallahassee, FL)",/register/player.fcgi?id=roatch001joh,baseball_reference_minor_league_id,roatch001joh,NA,MIN
1971,2,6sd,34,FrRnd,10,Giants,Y,,Gordon Carter (minors),OF,,,,,,,,,,,,,4Yr,"University of Southern California (Los Angeles, CA)",/register/player.fcgi?id=carter001gor,baseball_reference_minor_league_id,carter001gor,NA,SFG
1971,2,6sd,35,FrRnd,11,Angels,Y,,Ronald Botica (minors),RHP,,,,,,,,,,,,,4Yr,"Louisiana Tech University (Ruston, LA)",/register/player.fcgi?id=botica001ron,baseball_reference_minor_league_id,botica001ron,NA,ANA
1971,2,6sd,36,FrRnd,12,Padres,N,,Frank Rucker (minors),LHP,,,,,,,,,,,,,4Yr,"University of Alabama (Tuscaloosa, AL)",/register/player.fcgi?id=rucker000fra,baseball_reference_minor_league_id,rucker000fra,NA,SDP
1971,2,6sd,37,FrRnd,13,Yankees,Y,,Robert Schiffner (minors),LHP,,,,,,,,,,,,,4Yr,"Princeton University (Princeton, NJ)",/register/player.fcgi?id=schiff001rob,baseball_reference_minor_league_id,schiff001rob,NA,NYY
1971,2,6sd,38,FrRnd,14,Pirates,N,,Douglas Farrell (minors),RHP,,,,,,,,,,,,,4Yr,"Niagara University (Lewiston, NY)",/register/player.fcgi?id=farrel000dou,baseball_reference_minor_league_id,farrel000dou,NA,PIT
1971,2,6sd,39,FrRnd,15,Royals,Y,,Steve Busby (minors),RHP,16.1,7,15,0,.200,.467,167,70,54,3.72,1.35,0,4Yr,"University of Southern California (Los Angeles, CA)",/players/b/busbyst01.shtml,baseball_reference_id,busbyst01,NA,KCR
1971,2,6sd,40,FrRnd,16,Cardinals,Y,,Jim Silvey (minors),2B,,,,,,,,,,,,,4Yr,"University of Tulsa (Tulsa, OK)",/register/player.fcgi?id=silvey001jam,baseball_reference_minor_league_id,silvey001jam,NA,STL
1971,2,6sd,41,FrRnd,17,Indians,Y,,James Sams (minors),RHP,,,,,,,,,,,,,4Yr,"Miami University of Ohio (Oxford, OH)",/register/player.fcgi?id=sams--001jam,baseball_reference_minor_league_id,sams--001jam,NA,CLE
1971,2,6sd,42,FrRnd,18,Athletics,N,,Michael McNeilly (minors),RHP,,,,,,,,,,,,,4Yr,"Gonzaga University (Spokane, WA)",/register/player.fcgi?id=mcneil001mic,baseball_reference_minor_league_id,mcneil001mic,NA,OAK
